id,contracting,NIF,Name
51,Município de Lisboa (500051070),500051070,Município de Lisboa
64,Município de Mértola (503279765),503279765,Município de Mértola
73,Município do Barreiro (506673626),506673626,Município do Barreiro
136,Município do Entroncamento (501120149),501120149,Município do Entroncamento
160,Município de Santarém (505941350),505941350,Município de Santarém
172,Município de Montalegre (506149811),506149811,Município de Montalegre
176,Município de Montemor-o-Novo (506609553),506609553,Município de Montemor-o-Novo
190,Município de São Brás de Alportel (503219924),503219924,Município de São Brás de Alportel
195,Município de Loulé (502098139),502098139,Município de Loulé
198,Município de Leiria (505181266),505181266,Município de Leiria
202,Município de Condeixa-a-Nova (501275380),501275380,Município de Condeixa-a-Nova
206,Município de Rio Maior (505656000),505656000,Município de Rio Maior
208,Município de Vila Nova de Famalicão (506663264),506663264,Município de Vila Nova de Famalicão
214,Município de São João da Pesqueira (506892646),506892646,Município de São João da Pesqueira
226,Município de Abrantes (502661038),502661038,Município de Abrantes
237,Município de Palmela (506187543),506187543,Município de Palmela
249,Município de Odivelas (504293125),504293125,Município de Odivelas
250,Município de Torres Novas (506608972),506608972,Município de Torres Novas
252,Município de Ponta Delgada (512012814),512012814,Município de Ponta Delgada
260,Município de Grândola (506823318),506823318,Município de Grândola
264,Município de Santa Cruz (511244681),511244681,Município de Santa Cruz
269,Município de Loures (501294996),501294996,Município de Loures
271,Município de Almodôvar (506816184),506816184,Município de Almodôvar
276,Município de Silves (506818837),506818837,Município de Silves
289,Município da Maia (505387131),505387131,Município da Maia
290,Município do Funchal (511217315),511217315,Município do Funchal
298,Município de Faro (506579425),506579425,Município de Faro
307,Município de Alijó (506859487),506859487,Município de Alijó
309,Município de Cascais (505187531),505187531,Município de Cascais
315,Município do Porto (501306099),501306099,Município do Porto
317,Município de Setúbal (501294104),501294104,Município de Setúbal
326,Município de Vimioso (506627888),506627888,Município de Vimioso
385,Município de Baião (506854299),506854299,Município de Baião
404,Município de Benavente (506676056),506676056,Município de Benavente
429,Município de Portel (506196445),506196445,Município de Portel
451,Município de Vila do Conde (505804786),505804786,Município de Vila do Conde
459,Município de Cinfães (506693651),506693651,Município de Cinfães
462,Município de Oliveira do Bairro (501128840),501128840,Município de Oliveira do Bairro
465,Município de Matosinhos (501305912),501305912,Município de Matosinhos
466,Município de Mação (506814343),506814343,Município de Mação
470,Município de Vila Franca de Xira (506614913),506614913,Município de Vila Franca de Xira
477,Município de Ribeira Grande (512013241),512013241,Município de Ribeira Grande
490,Município de Aljezur (505932512),505932512,Município de Aljezur
495,Município de Caminha (500843139),500843139,Município de Caminha
505,Município de Mortágua (506855368),506855368,Município de Mortágua
526,Município de Vila Nova da Barquinha (506899250),506899250,Município de Vila Nova da Barquinha
529,Município de Vouzela (506770664),506770664,Município de Vouzela
532,Município de Ovar (501306269),501306269,Município de Ovar
541,Município de Castelo de Paiva (502678917),502678917,Município de Castelo de Paiva
543,Município de Borba (503956546),503956546,Município de Borba
545,Município da Murtosa (506791238),506791238,Município da Murtosa
549,Município de Vila Pouca de Aguiar (506810267),506810267,Município de Vila Pouca de Aguiar
558,Município de Santa Maria da Feira (501157280),501157280,Município de Santa Maria da Feira
